Day;Hires
2011-01-01;4555
2011-01-02;6250
2011-01-03;7262
2011-01-04;13430
2011-01-05;13757
2011-01-06;9595
2011-01-07;9294
2011-01-08;9338
2011-01-09;10558
2011-01-10;16058
2011-01-11;16412
2011-01-12;13894
2011-01-13;15911
2011-01-14;14834
2011-01-15;11851
2011-01-16;10471
2011-01-17;10835
2011-01-18;17703
2011-01-19;18350
2011-01-20;17957
2011-01-21;16509
2011-01-22;10658
2011-01-23;9911
2011-01-24;17193
2011-01-25;17045
2011-01-26;16396
2011-01-27;16519
2011-01-28;15538
2011-01-29;9379
2011-01-30;9455
2011-01-31;16260
2011-02-01;16331
2011-02-02;18102
2011-02-03;15593
2011-02-04;14938
2011-02-05;8442
2011-02-06;9437
2011-02-07;16537
2011-02-08;19829
2011-02-09;18197
2011-02-10;11496
2011-02-11;16070
2011-02-12;12855
2011-02-13;7034
2011-02-14;17836
2011-02-15;15667
2011-02-16;18989
2011-02-17;18938
2011-02-18;17460
2011-02-19;6250
2011-02-20;7882
2011-02-21;13720
2011-02-22;15948
2011-02-23;12936
2011-02-24;19230
2011-02-25;18634
2011-02-26;7749
2011-02-27;8349
2011-02-28;13843
2011-03-01;15774
2011-03-02;16929
2011-03-03;16576
2011-03-04;16971
2011-03-05;9847
2011-03-06;7142
2011-03-07;16192
2011-03-08;17240
2011-03-09;18494
2011-03-10;18794
2011-03-11;19074
2011-03-12;15488
2011-03-13;10526
2011-03-14;19451
2011-03-15;19568
2011-03-16;19643
2011-03-17;20036
2011-03-18;14612
2011-03-19;17801
2011-03-20;14694
2011-03-21;20710
2011-03-22;21792
2011-03-23;23837
2011-03-24;23518
2011-03-25;24343
2011-03-26;16095
2011-03-27;17550
2011-03-28;21602
2011-03-29;22080
2011-03-30;18945
2011-03-31;20831
2011-04-01;22048
2011-04-02;19829
2011-04-03;17294
2011-04-04;20949
2011-04-05;16690
2011-04-06;25597
2011-04-07;25451
2011-04-08;26622
2011-04-09;22323
2011-04-10;21346
2011-04-11;22204
2011-04-12;23651
2011-04-13;18909
2011-04-14;22346
2011-04-15;22974
2011-04-16;19632
2011-04-17;22009
2011-04-18;24032
2011-04-19;27914
2011-04-20;27934
2011-04-21;26547
2011-04-22;23719
2011-04-23;19182
2011-04-24;21313
2011-04-25;21669
2011-04-26;22038
2011-04-27;24349
2011-04-28;23794
2011-04-29;19700
2011-04-30;21574
2011-05-01;19489
2011-05-02;18126
2011-05-03;23786
2011-05-04;26183
2011-05-05;23620
2011-05-06;28971
2011-05-07;22274
2011-05-08;21011
2011-05-09;27172
2011-05-10;29417
2011-05-11;27205
2011-05-12;23461
2011-05-13;23991
2011-05-14;21100
2011-05-15;19097
2011-05-16;24620
2011-05-17;25464
2011-05-18;23068
2011-05-19;27534
2011-05-20;27523
2011-05-21;24408
2011-05-22;19348
2011-05-23;24268
2011-05-24;27768
2011-05-25;28708
2011-05-26;18055
2011-05-27;22907
2011-05-28;15693
2011-05-29;18396
2011-05-30;16097
2011-05-31;23312
2011-06-01;26054
2011-06-02;26920
2011-06-03;26641
2011-06-04;15233
2011-06-05;8420
2011-06-06;13812
2011-06-07;22378
2011-06-08;23013
2011-06-09;25061
2011-06-10;20141
2011-06-11;21059
2011-06-12;6061
2011-06-13;23978
2011-06-14;28889
2011-06-15;25643
2011-06-16;17566
2011-06-17;15723
2011-06-18;13721
2011-06-19;17092
2011-06-20;20101
2011-06-21;26780
2011-06-22;22745
2011-06-23;24559
2011-06-24;22137
2011-06-25;17944
2011-06-26;23483
2011-06-27;26243
2011-06-28;21950
2011-06-29;28073
2011-06-30;27297
2011-07-01;27758
2011-07-02;22764
2011-07-03;21423
2011-07-04;27332
2011-07-05;24802
2011-07-06;26207
2011-07-07;20483
2011-07-08;19485
2011-07-09;21360
2011-07-10;20203
2011-07-11;26355
2011-07-12;26633
2011-07-13;25417
2011-07-14;26479
2011-07-15;27114
2011-07-16;10224
2011-07-17;10965
2011-07-18;18541
2011-07-19;21218
2011-07-20;21580
2011-07-21;20951
2011-07-22;25172
2011-07-23;20264
2011-07-24;22464
2011-07-25;25185
2011-07-26;25636
2011-07-27;24989
2011-07-28;26759
2011-07-29;25373
2011-07-30;23930
2011-07-31;21388
2011-08-01;22940
2011-08-02;24290
2011-08-03;26120
2011-08-04;15149
2011-08-05;26792
2011-08-06;20485
2011-08-07;14912
2011-08-08;23489
2011-08-09;23011
2011-08-10;24182
2011-08-11;20573
2011-08-12;22971
2011-08-13;20731
2011-08-14;21115
2011-08-15;23657
2011-08-16;24899
2011-08-17;23010
2011-08-18;16139
2011-08-19;25444
2011-08-20;17334
2011-08-21;21836
2011-08-22;25222
2011-08-23;10953
2011-08-24;22883
2011-08-25;20026
2011-08-26;12368
2011-08-27;14045
2011-08-28;15908
2011-08-29;17443
2011-08-30;21477
2011-08-31;23036
2011-09-01;25110
2011-09-02;25981
2011-09-03;24578
2011-09-04;14967
2011-09-05;21776
2011-09-06;13863
2011-09-07;22746
2011-09-08;23679
2011-09-09;23957
2011-09-10;20069
2011-09-11;17719
2011-09-12;21572
2011-09-13;23962
2011-09-14;25824
2011-09-15;25803
2011-09-16;25567
2011-09-17;15147
2011-09-18;17327
2011-09-19;23708
2011-09-20;23676
2011-09-21;22730
2011-09-22;24601
2011-09-23;25114
2011-09-24;22113
2011-09-25;21211
2011-09-26;20527
2011-09-27;24841
2011-09-28;28434
2011-09-29;29039
2011-09-30;29139
2011-10-01;27129
2011-10-02;26906
2011-10-03;27559
2011-10-04;26131
2011-10-05;26263
2011-10-06;25083
2011-10-07;24529
2011-10-08;18154
2011-10-09;17643
2011-10-10;24198
2011-10-11;26184
2011-10-12;26323
2011-10-13;25149
2011-10-14;26542
2011-10-15;23663
2011-10-16;18530
2011-10-17;23892
2011-10-18;23791
2011-10-19;23259
2011-10-20;23157
2011-10-21;23253
2011-10-22;20482
2011-10-23;18560
2011-10-24;22842
2011-10-25;22771
2011-10-26;17621
2011-10-27;19360
2011-10-28;23158
2011-10-29;18228
2011-10-30;15443
2011-10-31;22999
2011-11-01;22747
2011-11-02;23724
2011-11-03;18676
2011-11-04;18774
2011-11-05;16434
2011-11-06;14317
2011-11-07;20365
2011-11-08;19231
2011-11-09;22542
2011-11-10;23475
2011-11-11;21140
2011-11-12;18933
2011-11-13;17744
2011-11-14;19913
2011-11-15;22245
2011-11-16;21639
2011-11-17;22802
2011-11-18;22461
2011-11-19;18706
2011-11-20;14829
2011-11-21;20824
2011-11-22;20341
2011-11-23;21855
2011-11-24;21870
2011-11-25;21598
2011-11-26;15803
2011-11-27;14362
2011-11-28;20167
2011-11-29;18718
